Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Tuition fees up to date,Curricular units 2nd sem (evaluations),Curricular units 1st sem (evaluations),Age at enrollment,Course,Curricular units 2nd sem (enrolled)
0,0.0,0,0.0,1,0,0,20,171,0
0,0.0,0,0.0,0,0,0,19,9070,6
0,0.0,0,0.0,0,5,5,22,9254,5
2,13.5,5,11.4,0,14,9,18,9238,6
6,13.666666666666666,6,14.0,0,6,6,19,9254,6
5,12.4,6,13.428571428571429,1,10,8,20,9773,6
6,13.0,5,12.333333333333334,1,6,9,45,8014,6
2,11.0,1,10,8,20,9773,6
6,13.0,5,12.333333333333334,1,6,9,45,8014,6
2,11.0,1,14,10,18,9238,6
6,13,11.666666666666666,1,8,7,18,9853,7
8,11.425,7,11.4375,1,9,14,20,9556,8
